Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nationality,Mother's qualification,Father's qualification,Mother's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Previous qualification (grade),Admission grade,Target
1,17,1,9254,1,1,1,1,1,3,0,0,0,1,1,1,22,0,0,6,8,6,13.625,0,8,14.428571428571429,0,11.1,0.6,2.02,125.0,114.5,Graduate
1,17,2,9070,1,1,1,3,1,2,1,0,0,1,1,0,18,0,0,6,6,6,13.0,0,8,10.0,0,10.8,1.4,1.74,142.0,141.0,Enrolled
1,39,1,9119,1,19,1,37,37,9,0,0,1,0,1,0,28,0,0,5,10,0,0.0,0,7,0.0,0,12.4,0.5,1.79,120.0,98.6,Dropout
1,1,1,9254,1,1,1,37,19,9,1,0,0,1,0,1,22,0,0,6,9,6,13.875,0,6,14.333333333333334,0,9.4,-0.8,-3.12,152.0,137.0,Graduate
1,15,1,5,1,14,1,22,1,10,0,0,0,1,1,0,20,0,2,7,9,5,12.6,0,10,12.75,1,16.2,0.3,-0.92,,,Dropout
1,8,1,14,1,1,1,1,14,5,0,0,0,1,1,1,19,0,0,6,7,6,12.0,0,6,14.0,0,12.4,0.5,1.79,,,Graduate
1,8,1,9,1,1,1,3,1,4,0,0,0,0,1,0,22,0,0,5,10,4,11.5,0,11,14.0,0,8.9,1.4,3.51,,,Enrolled
1,12,1,12,1,4,1,3,28,4,1,0,0,1,1,0,26,0,2,7,8,6,13.046666666666669,0,10,13.30625,0,11.1,0.6,2.02,,,Dropout
1,1,1,15,1,1,1,23,14,18,0,0,1,1,0,0,20,0,0,6,6,5,11.0,0,6,13.166666666666666,0,16.2,0.3,-0.92,,,Graduate
1,13,1,4,1,14,1,13,1,6,0,0,0,1,0,0,22,0,0,6,10,6,12.571428571428571,0,12,13.666666666666666,0,15.5,2.8,-4.06,,,Enrolled
2,15,1,3,0,14,1,1,1,6,0,0,0,1,1,0,37,0,12,16,17,16,14.125,0,14,13.0,0,12.4,0.5,1.79,,,Graduate
2,39,1,9070,1,12,1,37,38,5,0,0,1,0,1,1,46,0,0,6,6,0,0.0,0,6,0.0,0,15.5,2.8,-4.06,110.0,130.0,Dropout
3,39,1,9991,0,1,1,37,1,9,0,0,0,1,1,0,43,0,0,5,5,5,11.8,0,6,14.0,0,9.4,-0.8,-3.12,120.0,170.0,Graduate
1,8,2,7,1,1,1,1,1,5,1,0,1,1,1,0,18,0,0,5,10,1,12.0,0,7,10.666666666666666,2,7.6,2.6,0.32,,,Dropout
1,1,3,12,1,1,1,22,27,10,1,0,1,0,0,0,19,0,0,8,8,7,13.327142857142857,0,8,13.327142857142857,0,10.8,1.4,1.74,,,Dropout
1,7,1,9070,1,40,1,1,19,3,1,0,0,1,0,0,21,0,9,13,14,13,13.615384615384617,1,12,14.25,0,13.9,-0.3,0.79,120.0,120.0,Graduate
1,9,4,6,1,1,1,1,1,5,0,0,1,0,0,1,20,0,2,5,8,5,14.4,1,6,14.0,0,12.7,3.7,-1.7,,,Dropout
1,43,1,9238,1,1,1,38,19,9,0,0,1,1,0,0,28,0,15,16,16,13,12.076923076923077,0,13,12.090909090909092,0,16.2,0.3,-0.92,130.0,118.4,Graduate
2,12,1,16,1,1,1,22,14,10,0,0,0,1,0,0,45,0,0,7,12,4,10.25,0,10,13.0,0,11.1,0.6,2.02,,,Dropout
1,17,4,9119,1,1,1,3,1,9,1,0,0,1,1,0,18,0,0,5,5,5,13.6,0,6,14.6,0,8.9,1.4,3.51,133.0,123.2,Graduate
1,1,1,12,1,1,1,13,27,6,0,0,0,1,0,1,21,0,0,8,8,7,13.514285714285714,0,8,13.514285714285714,0,12.7,3.7,-1.7,,,Graduate
1,1,4,9773,1,1,1,19,19,9,1,0,0,1,0,0,20,0,0,6,7,6,13.571428571428571,0,6,13.333333333333334,0,13.9,-0.3,0.79,122.0,121.0,Graduate
1,39,1,9003,1,19,1,37,37,9,0,0,0,1,0,0,44,0,0,6,10,1,12.0,0,6,0.0,0,11.1,0.6,2.02,133.1,130.0,Dropout
1,16,2,9238,1,1,1,38,37,3,1,0,0,1,0,1,19,0,0,6,14,3,12.666666666666666,0,7,11.0,0,9.4,-0.8,-3.12,126.0,127.1,Graduate
1,1,2,9070,1,1,1,3,4,2,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,6,12.833333333333334,0,7.6,2.6,0.32,129.0,136.4,Enrolled
1,14,1,12,1,1,1,3,3,3,0,0,0,1,0,0,18,0,0,7,8,7,13.6125,0,8,14.575,0,13.9,-0.3,0.79,,,Graduate
1,1,1,9500,1,1,1,19,38,9,1,0,0,1,1,0,18,0,0,7,7,6,13.35,0,7,13.35,0,7.6,2.6,0.32,148.0,134.8,Graduate
1,17,1,9773,1,1,1,38,38,9,0,0,0,1,0,0,21,0,0,6,8,5,11.8,0,8,11.833333333333334,0,15.5,2.8,-4.06,133.1,117.0,Enrolled
2,12,1,9,1,1,1,22,27,10,0,0,0,1,0,0,39,0,0,5,8,4,11.25,0,8,11.5,0,11.1,0.6,2.02,,,Enrolled
1,5,2,9070,1,1,1,1,1,4,1,0,0,1,1,0,18,0,0,6,7,5,13.2,0,6,11.8,0,16.2,0.3,-0.92,143.0,146.2,Graduate
1,39,1,8014,0,15,1,34,34,0,1,0,0,0,0,0,37,0,0,5,9,0,0.0,0,5,0.0,5,9.4,-0.8,-3.12,133.1,100.0,Dropout
1,1,4,9670,1,1,1,1,2,4,1,0,0,1,0,0,18,0,0,6,7,6,13.666666666666666,0,9,15.4,0,13.9,-0.3,0.79,133.0,121.1,Graduate
1,8,1,9,1,1,1,1,28,7,1,0,1,1,1,0,18,0,0,5,9,0,0.0,0,5,0.0,0,7.6,2.6,0.32,,,Enrolled
1,18,4,9853,1,1,1,19,38,4,1,0,0,1,0,0,19,0,0,6,8,5,12.666666666666666,0,8,11.0,0,15.5,2.8,-4.06,123.0,123.7,Enrolled
1,43,1,9254,1,1,1,38,38,9,0,0,0,1,0,1,19,0,0,6,0,0,0.0,0,11,10.0,0,10.8,1.4,1.74,142.0,125.9,Dropout
1,1,5,12,1,1,1,1,3,10,1,0,0,1,1,0,18,0,0,7,10,6,12.035714285714286,0,9,13.75,0,13.9,-0.3,0.79,,,Enrolled
1,8,4,9,1,1,1,23,14,6,1,0,0,1,1,1,18,0,0,5,8,4,10.8,0,10,12.5,0,11.1,0.6,2.02,,,Dropout
4,12,1,11,1,1,1,22,27,10,0,0,0,1,0,1,36,0,0,6,10,6,11.0,0,14,11.333333333333334,0,10.8,1.4,1.74,,,Graduate
1,10,1,9500,1,1,24,3,3,2,1,0,1,0,0,0,23,1,0,8,11,7,11.328571428571427,0,11,11.328571428571427,0,12.7,3.7,-1.7,140.0,140.0,Dropout
2,12,1,3,0,1,1,22,27,7,0,0,1,1,0,0,37,0,3,8,12,7,11.375,0,10,12.166666666666666,0,13.9,-0.3,0.79,,,Enrolled
1,1,4,12,1,1,1,1,1,4,1,0,0,1,0,0,21,0,0,7,8,7,14.69625,0,9,14.622222222222224,0,12.4,0.5,1.79,,,Graduate
1,1,1,17,0,1,1,13,27,10,1,0,0,1,0,0,20,0,0,5,10,0,0.0,0,10,0.0,3,7.6,2.6,0.32,,,Enrolled
1,5,2,9853,1,1,1,19,19,3,1,0,0,1,0,1,19,0,0,6,8,6,12.666666666666666,0,7,12.0,0,12.7,3.7,-1.7,124.0,113.9,Graduate
1,1,1,9254,1,1,1,38,19,9,0,0,0,1,0,0,18,0,0,6,6,6,12.5,0,6,12.666666666666666,0,15.5,2.8,-4.06,138.0,133.1,Graduate
1,15,1,6,1,14,1,22,27,10,1,0,1,1,0,0,32,0,0,6,14,4,11.5,0,14,11.0,0,16.2,0.3,-0.92,,,Dropout
1,8,4,16,1,1,1,13,28,5,1,0,0,1,0,0,18,0,0,6,7,6,11.666666666666666,0,10,11.833333333333334,0,10.8,1.4,1.74,,,Graduate
1,1,1,11,1,1,1,1,1,4,1,0,0,1,1,0,20,0,0,6,10,6,12.333333333333334,0,9,13.0,0,12.4,0.5,1.79,,,Graduate
2,12,1,9,1,1,1,1,14,10,0,0,0,0,0,0,29,0,0,4,4,0,0.0,0,0,0.0,0,12.7,3.7,-1.7,,,Dropout
1,1,1,9670,1,1,1,37,37,9,1,0,0,1,0,1,18,0,0,6,7,6,13.5,0,9,14.0,0,8.9,1.4,3.51,135.0,132.6,Graduate
