Age at enrollment,Application mode,Curricular units 1st sem (approved),Curricular units 1st sem (enrolled),Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Debtor,Gender,Scholarship holder,Tuition fees up to date,Target
20,8,0,0,0.0,0.0,0,1,0,1,Dropout
19,6,6,6,14.0,13.666666666666666,0,1,0,0,Graduate
19,1,0,6,0.0,0.0,0,1,0,0,Dropout
20,8,6,6,13.428571428571429,12.4,0,0,0,1,Graduate
45,12,5,6,12.333333333333334,13.0,0,0,0,1,Graduate
50,12,5,5,11.857142857142858,11.5,1,1,0,1,Graduate
18,1,7,7,13.3,14.345,0,0,1,1,Graduate
22,9,0,5,0.0,0.0,0,1,0,0,Dropout
21,1,6,6,13.875,14.142857142857142,0,0,1,1,Graduate
18,1,5,6,11.4,13.5,1,0,0,0,Dropout
18,1,6,6,12.333333333333334,14.2,0,0,0,1,Graduate
18,1,7,8,13.214285714285714,13.214285714285714,0,0,1,1,Graduate
19,1,0,6,0.0,0.0,0,0,0,1,Dropout
21,17,6,6,10.571428571428571,11.0,0,0,1,1,Graduate
18,1,4,5,13.25,12.0,0,0,1,1,Graduate
20,1,5,6,13.2,0.0,0,0,0,1,Dropout
18,8,7,7,13.30625,14.545,0,0,0,1,Graduate
20,1,4,5,12.5,12.25,0,0,0,1,Graduate
21,1,0,0,0.0,0.0,0,0,1,1,Graduate
18,1,7,8,12.857142857142858,12.857142857142858,0,0,0,1,Graduate
19,1,6,6,13.375,12.285714285714286,0,0,1,1,Graduate
19,1,6,7,13.296666666666669,14.114285714285714,0,0,0,1,Graduate
21,8,6,6,11.375,13.285714285714286,0,0,0,1,Graduate
20,1,5,5,12.0,12.333333333333334,0,0,0,1,Graduate
20,16,6,6,12.833333333333334,13.4,0,1,0,1,Graduate
19,9,6,6,12.666666666666666,14.375,0,0,0,1,Graduate
34,1,5,5,12.4,13.428571428571429,0,1,0,1,Graduate
37,12,0,7,0.0,10.0,1,1,0,0,Dropout
43,12,0,5,0.0,0.0,0,1,0,1,Dropout
55,14,1,5,10.0,12.0,0,0,0,1,Dropout
39,12,5,5,11.0,11.6,0,0,0,1,Graduate
20,15,3,6,11.666666666666666,12.0,1,0,0,0,Dropout
18,1,4,6,12.75,0.0,1,0,0,1,Dropout
22,1,5,5,14.8,15.8,0,0,0,1,Graduate
22,1,5,7,13.928,14.342857142857142,0,0,0,1,Graduate
20,8,4,6,13.0,13.8,0,0,0,0,Dropout
29,12,0,5,0.0,0.0,0,0,0,1,Dropout
18,8,6,6,11.666666666666666,13.2,0,0,0,1,Graduate
22,8,6,7,13.516666666666666,13.771428571428572,0,0,1,1,Graduate
