student_number,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade
09ace30d,1,12.0
bc23ac1b,6,11.666666666666666
a775781c,7,11.4375
4517b137,5,11.6
3b79e780,5,12.666666666666666
ed603d92,6,12.933333333333332
136edae4,5,11.857142857142858
7afa7b30,3,11.333333333333334
6822a4fa,2,11.5
1544810b,6,11.833333333333334
5522ee37,4,14.0
8843d6b6,0,0.0
f5a4f173,0,0.0
e35c0e6e,5,11.4
c2adab9e,0,0.0
0a40c7a3,6,12.0
3ffb7673,0,0.0
ca06b63d,5,12.0
eb728e6d,4,14.0
73e7463c,2,10.0
e53cb8b9,5,14.0
2cbda9df,5,14.2
0b8716c2,6,11.666666666666666
e4590659,3,13.0
4f240360,6,11.616666666666667
eabf00f9,2,10.0
934a986d,3,10.333333333333334
4ebcc490,5,12.8
3b17f5c4,5,13.188
0b465cb0,0,0.0
aaf3951f,0,0.0
a104137c,3,12.333333333333334
c4182be5,0,0.0
b035a457,4,11.25
a72478ca,3,11.666666666666666
135f7c3a,6,12.666666666666666
9bc69b84,8,11.5
9f529381,2,10.0
dcee6b22,3,11.816666666666668
d3ecb74e,6,12.125
ad62bf4e,6,12.471428571428572
c7512b34,11,12.909090909090908
2962af75,5,12.4
2cce3340,1,11.0
aeb4510f,6,11.833333333333334
0b09f2f2,7,13.79714285714286
8af32c7d,6,12.5
8ea1a421,6,11.428571428571429
a73e102a,4,11.0
2151174b,6,11.757142857142856
a00538c5,3,10.333333333333334
45cd7b9a,5,12.6
51379861,5,14.0
c5de46ac,5,12.0
b04f122b,4,12.0
832d5781,4,13.0
c13a2071,13,10.692307692307692
7f5c86ae,5,12.0
b1eaa1a8,0,0.0
89494e9a,3,10.333333333333334
2ea48983,5,13.98
3ac5262d,1,11.0
55558f72,4,11.25
41b97de9,10,11.9
2158d2ed,7,12.285714285714286
9009456a,5,12.666666666666666
eb23a8ca,6,13.25
41408d8c,3,10.333333333333334
6fa5ee00,5,13.166666666666666
c7825112,4,12.75
e47a05b1,5,11.2
2d0c07b1,5,11.6
7c2fe319,3,10.333333333333334
bf457da5,4,12.25
7a91c31a,6,12.0
21b40e66,3,11.333333333333334
d627aa98,4,11.25
bd9f1073,0,0.0
30e4b91d,1,12.0
93245918,5,12.8
3bd6219f,5,11.8
7cfb3e6e,5,10.6
c2227979,5,14.333333333333334
28ed9d22,5,13.2
a2eade60,6,12.666666666666666
9d1c2089,5,13.333333333333334
05c1e6fc,6,10.666666666666666
f8d13f36,3,11.333333333333334
8eec48b6,5,12.2
e500b275,4,14.0
0c755e4b,7,14.75
3f946989,4,10.75
9ae3bc6b,1,12.0
a682392d,3,11.666666666666666
bdc69aec,5,10.0
cc4d0b68,5,13.2
c9c45b89,4,10.2
8499b5e7,5,14.2
534f808c,6,12.625
324fea47,6,13.496666666666668
cc0a1b0f,3,11.0
f7a4613c,3,11.5
53fc2155,2,11.0
8858098e,3,12.4
77c3a5a5,5,10.6
06cf7940,6,14.833333333333334
40f52644,4,12.45
7f6e4867,5,13.4
80080456,6,13.333333333333334
3df13450,5,11.98
01adf6d2,4,11.0
0696a54d,5,12.666666666666666
33d135b7,5,12.2
c26f9767,3,10.666666666666666
0a2de33c,3,11.666666666666666
635a034e,2,10.5
531f3a07,8,14.26875
e67f80c6,2,10.5
9f20440a,5,11.2
fbdfb616,9,13.666666666666666
afc77e4a,5,11.4
8562936f,5,10.6
e92665cc,5,11.8
0df9fa84,5,11.833333333333334
0097b14a,6,12.571428571428571
f4acee22,3,10.0
93db2449,5,13.2
93d3950e,5,15.8
9e7b8b4c,5,13.8
26e825ca,6,13.0
5fae01eb,4,13.75
2595e51a,7,11.285714285714286
846d581a,11,12.0
181440ce,0,0.0
22c87e19,1,11.0
94c0e886,5,10.2
e3896212,4,12.0
c6ad737f,6,13.411428571428573
042ded58,4,11.8
b8b1639f,6,11.833333333333334
b1674c83,6,13.345
006967bd,6,12.166666666666666
bef4c301,6,11.0
8d0ea26c,2,11.5
2a945615,6,14.0
