Admission grade,Age at enrollment,Application order,Course,Curricular units 1st sem (approved),Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Daytime/evening attendance,Debtor,Displaced,Educational special needs,Father's occupation,Father's qualification,GDP,Gender,Inflation rate,International,Marital status,Mother's occupation,Mother's qualification,Nationality,Previous qualification,Previous qualification (grade),Scholarship holder,Target,Tuition fees up to date,Unemployment rate,dataset_marker
122.0,18,1,10,1,0,6,10,12.0,0,2,0,6,14,11.0,0,1,0,1,0,9,28,1.74,0,1.4,0,1,6,13,1,1,133.1,0,Enrolled,1,10.8,df1
110.0,18,1,16,6,0,7,7,11.666666666666666,0,6,0,7,8,13.5,0,1,0,1,0,8,14,-0.92,0,0.3,0,1,8,13,1,1,133.1,0,Enrolled,1,16.2,df1
110.0,20,4,13,7,0,7,14,11.4375,0,8,0,8,9,11.425,0,1,0,1,0,8,28,-1.7,0,3.7,0,1,5,1,1,1,135.0,0,Enrolled,1,12.7,df1
144.9,18,1,10,5,0,6,8,11.6,0,4,0,6,12,11.0,0,1,1,1,0,10,28,0.32,0,2.6,0,1,10,13,1,1,130.0,1,Enrolled,1,7.6,df1
118.4,18,1,6,5,0,5,9,12.666666666666666,2,4,0,5,7,13.0,0,1,0,1,0,4,14,-3.12,0,-0.8,0,1,4,13,1,1,136.0,0,Enrolled,1,9.4,df1
101.3,19,2,12,6,0,7,9,12.933333333333332,0,6,0,7,7,13.716666666666669,0,1,0,1,0,11,3,-0.92,1,0.3,0,1,2,3,1,1,141.0,0,Enrolled,1,16.2,df1
168.2,21,1,4,5,0,6,15,11.857142857142858,0,5,0,6,17,10.571428571428571,0,1,0,0,0,3,5,-0.92,1,0.3,0,1,5,4,1,14,148.0,0,Enrolled,1,16.2,df1
150.0,18,1,9,3,0,5,9,11.333333333333334,0,2,0,5,8,13.5,0,1,0,0,0,7,1,3.51,1,1.4,0,1,5,1,1,1,133.1,0,Enrolled,0,8.9,df1
140.0,24,1,17,2,0,5,9,11.5,0,3,0,5,11,14.333333333333334,1,0,0,0,0,6,28,0.32,0,2.6,0,1,5,23,1,1,140.0,0,Enrolled,1,7.6,df1
121.8,19,1,12,6,0,8,10,11.833333333333334,0,6,0,8,10,11.833333333333334,0,1,0,1,0,7,28,-3.12,0,-0.8,0,1,7,22,1,1,165.0,1,Enrolled,1,9.4,df1
183.5,20,1,15,4,0,6,11,14.0,0,3,0,6,12,11.0,0,1,0,1,0,8,14,-3.12,0,-0.8,0,1,8,1,1,1,120.0,1,Enrolled,1,9.4,df1
100.0,18,3,2,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,1,0,10,27,0.32,0,2.6,0,1,5,23,1,1,127.0,0,Enrolled,1,7.6,df1
112.4,19,3,2,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,1,0,8,27,1.74,1,1.4,0,1,5,1,1,1,125.0,1,Enrolled,1,10.8,df1
107.5,19,1,5,5,0,6,6,11.4,0,1,0,6,8,10.0,0,1,0,1,0,5,1,1.74,1,1.4,0,1,4,1,1,1,137.0,0,Enrolled,1,10.8,df1
116.4,24,1,5,0,0,6,6,0.0,0,0,0,6,6,0.0,0,1,0,0,0,4,1,-1.7,1,3.7,0,1,4,1,1,1,132.0,0,Enrolled,1,12.7,df1
103.5,26,1,11,6,0,6,7,12.0,0,5,0,6,8,10.8,0,1,0,0,0,11,27,-1.7,1,3.7,0,1,8,13,1,1,140.0,0,Enrolled,1,12.7,df1
122.3,18,1,9,0,0,5,9,0.0,0,0,0,5,5,0.0,0,1,0,0,0,6,27,0.32,1,2.6,0,1,6,23,1,1,130.0,0,Enrolled,1,7.6,df1
134.7,18,1,11,5,0,5,6,12.0,0,3,0,5,8,11.333333333333334,0,1,0,0,0,5,14,-1.7,1,3.7,0,1,5,13,1,1,143.0,0,Enrolled,1,12.7,df1
154.4,23,6,9,4,0,5,6,14.0,0,5,0,5,5,13.8,0,1,0,1,0,10,27,2.02,1,0.6,0,1,10,23,1,1,133.1,0,Enrolled,1,11.1,df1
136.0,18,2,7,2,0,5,9,10.0,0,0,0,5,9,0.0,0,1,1,1,0,7,14,-4.06,1,2.8,0,1,10,23,1,1,143.0,0,Enrolled,1,15.5,df1
122.8,19,1,7,5,0,5,9,14.0,0,3,0,5,11,13.25,0,1,0,1,0,3,3,0.79,1,-0.3,1,1,10,23,12,1,120.0,0,Enrolled,1,13.9,df1
103.5,19,1,6,5,0,5,7,14.2,2,5,0,5,7,13.8,0,1,0,1,0,2,2,-1.7,0,3.7,0,1,10,1,1,1,143.0,0,Enrolled,1,12.7,df1
140.0,20,2,16,6,0,7,12,11.666666666666666,0,3,0,7,10,13.0,0,1,0,1,0,4,1,-0.92,0,0.3,0,1,10,13,1,1,125.0,0,Enrolled,1,16.2,df1
129.8,18,2,9,3,0,5,9,13.0,0,3,0,5,11,11.0,0,1,0,1,0,8,28,3.51,0,1.4,0,1,5,1,1,1,133.1,1,Enrolled,1,8.9,df1
115.5,20,1,12,6,0,7,11,11.616666666666667,0,7,0,7,7,13.0,0,1,0,0,0,6,28,0.79,0,-0.3,0,1,10,23,1,1,120.0,0,Enrolled,1,13.9,df1
107.0,20,1,10,2,0,6,13,10.0,0,4,0,6,12,10.75,0,1,0,1,0,8,27,0.32,0,2.6,0,1,10,13,1,1,110.0,1,Enrolled,1,7.6,df1
110.0,20,1,9,3,0,5,11,10.333333333333334,0,3,0,5,10,10.666666666666666,0,1,0,0,0,4,14,1.79,0,0.5,0,1,4,13,1,1,129.0,0,Enrolled,1,12.4,df1
100.0,18,1,16,5,0,6,8,12.8,0,5,0,6,7,13.4,0,1,0,1,0,4,28,-3.12,0,-0.8,0,1,10,13,1,1,118.0,1,Enrolled,1,9.4,df1
126.3,20,2,12,5,0,7,9,13.188,0,7,0,8,9,12.892857142857142,0,1,0,0,0,8,1,2.02,0,0.6,0,1,5,13,1,1,138.0,1,Enrolled,1,11.1,df1
100.0,22,1,9,0,0,5,8,0.0,0,0,0,5,7,0.0,0,1,1,1,0,4,1,3.51,0,1.4,0,1,4,3,1,1,142.0,0,Enrolled,0,8.9,df1
140.8,18,1,2,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,0,1,0,9,27,-3.12,0,-0.8,0,1,3,3,1,1,133.1,0,Enrolled,1,9.4,df1
163.4,18,1,16,3,0,6,11,12.333333333333334,0,5,0,6,10,10.833333333333334,0,1,0,1,0,7,28,-3.12,0,-0.8,0,1,8,23,1,1,133.1,0,Enrolled,1,9.4,df1
129.7,47,1,4,0,0,1,1,0.0,0,0,0,6,0,0.0,0,1,1,0,0,7,27,3.51,0,1.4,0,3,7,1,1,1,130.0,0,Enrolled,1,8.9,df1
