Age at enrollment,Application order,Curricular units 1st sem (enrolled),Daytime/evening attendance,Debtor,Displaced,Gender,Marital status,Scholarship holder,Tuition fees up to date
18,1,6,1,0,1,0,1,0,1
18,1,7,1,0,1,0,1,0,1
20,4,7,1,0,1,0,1,0,1
18,1,6,1,1,1,0,1,1,1
18,1,5,1,0,1,0,1,0,1
19,2,7,1,0,1,1,1,0,1
21,1,6,1,0,0,1,1,0,1
18,1,5,1,0,0,1,1,0,0
24,1,5,0,0,0,0,1,0,1
19,1,8,1,0,1,0,1,1,1
20,1,6,1,0,1,0,1,1,1
18,3,0,1,0,1,0,1,0,1
19,3,0,1,0,1,1,1,1,1
19,1,6,1,0,1,1,1,0,1
24,1,6,1,0,0,1,1,0,1
26,1,6,1,0,0,1,1,0,1
18,1,5,1,0,0,1,1,0,1
18,1,5,1,0,0,1,1,0,1
23,6,5,1,0,1,1,1,0,1
18,2,5,1,1,1,1,1,0,1
19,1,5,1,0,1,1,1,0,1
19,1,5,1,0,1,0,1,0,1
20,2,7,1,0,1,0,1,0,1
18,2,5,1,0,1,0,1,1,1
20,1,7,1,0,0,0,1,0,1
20,1,6,1,0,1,0,1,1,1
20,1,5,1,0,0,0,1,0,1
18,1,6,1,0,1,0,1,1,1
20,2,7,1,0,0,0,1,1,1
22,1,5,1,1,1,0,1,0,0
18,1,0,1,0,1,0,1,0,1
18,1,6,1,0,1,0,1,0,1
47,1,1,1,1,0,0,3,0,1
28,1,5,1,0,1,0,1,0,1
18,1,5,1,0,1,0,1,1,1
26,1,6,0,0,0,0,1,1,1
21,1,10,1,1,0,0,1,0,0
23,1,6,0,0,0,0,1,0,1
35,1,3,1,0,0,0,1,0,1
25,1,7,1,0,0,0,1,0,1
19,3,7,1,0,1,0,1,0,1
24,1,17,1,0,1,0,1,0,1
19,3,6,1,0,1,0,1,0,1
18,1,6,1,0,1,0,1,0,1
18,3,6,1,0,0,0,1,0,1
18,1,7,1,0,0,0,1,1,1
18,1,6,1,0,0,0,1,0,1
24,1,6,1,0,0,0,1,0,1
19,1,6,1,0,1,0,1,0,1
20,1,7,1,0,0,0,1,0,1
19,3,5,1,0,1,0,1,0,1
18,1,6,1,0,1,0,1,0,1
18,1,5,1,0,1,0,1,0,1
18,1,7,1,0,1,0,1,0,1
19,1,5,1,0,1,0,1,0,1
26,1,5,1,0,1,0,1,0,1
36,1,16,1,0,0,0,1,0,1
20,2,6,0,0,0,0,1,0,1
30,1,6,1,1,0,0,1,1,1
20,4,5,1,0,1,0,1,0,1
19,4,7,1,0,1,0,1,0,1
19,1,5,1,0,0,0,1,0,1
31,1,5,0,0,0,0,4,1,1
42,1,11,0,1,0,0,2,0,1
18,1,7,1,0,1,0,1,1,0
21,1,6,1,0,1,0,1,0,1
20,1,7,1,0,0,0,1,0,1
19,1,6,1,0,0,0,1,0,1
22,1,6,1,0,1,0,1,0,1
21,1,6,1,0,1,0,1,0,1
26,1,7,1,0,0,0,1,0,1
18,4,6,1,0,0,0,1,1,1
20,1,6,1,0,1,0,1,0,1
19,1,6,1,0,1,0,1,0,1
19,1,6,1,0,0,0,1,0,1
20,1,5,1,0,1,0,1,0,1
20,1,6,1,0,0,0,1,1,1
18,1,2,1,0,0,0,1,0,1
18,1,5,1,1,1,0,1,0,1
20,3,6,1,0,1,0,1,1,1
19,3,5,1,0,1,0,1,0,1
20,1,6,1,0,0,0,1,0,1
20,1,6,1,0,1,0,1,0,1
21,1,6,1,0,1,0,1,1,1
20,1,6,1,0,0,0,1,0,1
22,1,6,1,1,1,0,1,0,1
18,1,7,1,0,1,0,1,0,1
20,3,5,1,0,1,0,1,0,1
18,1,6,1,0,0,0,1,0,0
27,1,7,1,0,0,0,1,0,1
26,1,7,1,0,0,0,1,0,1
18,2,6,1,0,1,0,1,0,1
24,1,5,1,0,1,1,1,0,1
19,1,5,1,0,0,1,1,1,1
20,1,5,1,0,0,1,1,0,1
18,2,5,1,0,1,1,1,1,1
20,2,5,1,0,0,1,1,0,1
25,1,5,1,0,0,1,1,0,1
22,1,6,1,1,0,1,1,0,1
18,1,8,1,0,0,1,1,0,1
20,1,5,1,0,1,1,1,0,1
23,1,6,1,1,1,1,1,0,1
20,1,5,1,0,1,1,1,0,1
20,6,5,1,0,0,1,1,0,1
28,2,5,0,0,1,0,1,1,1
19,1,6,1,0,1,0,1,0,1
19,1,7,1,0,0,0,1,0,1
20,1,6,1,0,1,0,1,0,1
20,1,6,1,1,0,0,1,0,1
18,3,7,1,0,1,0,1,1,1
20,3,5,1,0,0,0,1,0,1
19,1,6,1,0,1,0,1,0,1
19,2,6,1,0,1,0,1,0,1
27,1,5,0,0,0,0,1,0,1
18,6,5,1,0,0,0,1,0,1
18,1,5,1,0,1,0,1,0,1
18,3,8,1,0,1,0,1,0,1
19,1,5,1,0,1,0,1,1,1
21,1,6,1,0,0,0,1,0,1
23,1,12,1,0,1,0,1,0,0
19,4,6,1,1,1,0,1,1,1
18,1,6,1,1,0,0,1,0,1
19,1,7,1,0,1,0,1,0,1
18,1,6,1,0,1,0,1,0,1
21,1,6,1,0,0,1,1,0,1
20,1,6,1,0,0,1,1,0,1
20,1,6,1,0,0,1,1,0,0
37,1,5,0,0,0,1,2,0,1
18,1,6,1,0,1,1,1,0,1
23,1,6,1,0,0,1,1,0,1
18,1,6,1,0,1,1,1,0,1
32,1,11,1,0,0,1,1,0,1
19,1,12,1,1,1,1,1,0,1
20,1,0,1,0,1,1,1,0,1
40,1,5,1,1,0,1,1,0,1
20,4,5,1,0,0,1,1,0,1
20,1,5,1,0,1,0,1,0,1
19,3,7,1,0,1,0,1,0,1
19,1,6,1,0,1,0,1,0,1
20,1,7,1,0,0,0,1,0,1
18,3,8,1,0,1,0,1,0,1
18,1,6,1,0,1,0,1,0,1
22,1,6,1,0,1,0,1,1,0
20,2,5,1,1,1,0,1,0,1
23,1,6,1,1,0,0,1,0,0
20,5,6,1,0,1,0,1,0,1
21,1,5,1,0,0,0,1,0,1
20,1,6,1,0,0,0,1,0,1
20,2,7,1,0,1,0,1,1,0
20,1,7,1,0,1,0,1,0,1
21,1,5,1,1,0,0,1,0,1
18,3,5,1,0,1,1,1,0,1
23,1,7,1,0,1,1,1,0,1
22,1,5,1,0,0,1,1,0,0
18,1,5,1,0,1,0,1,0,1
22,2,6,1,0,1,0,1,0,1
18,4,5,1,1,1,1,1,0,0
21,1,7,1,0,0,1,1,1,1
21,1,6,1,0,1,0,1,0,1
20,5,6,1,0,1,0,1,0,1
37,1,5,0,0,0,0,4,0,1
37,1,8,0,1,0,0,2,0,1
28,1,6,1,1,1,0,1,0,1
18,5,5,1,0,1,0,1,0,1
34,1,8,1,0,1,0,1,0,1
31,1,6,0,0,0,0,1,0,1
18,1,6,1,0,1,0,1,0,1
31,1,6,1,0,1,0,2,0,1
18,2,5,1,0,0,1,1,0,1
24,1,5,1,0,0,1,1,0,1
18,3,5,1,1,1,1,1,0,0
41,1,5,0,0,0,1,2,1,1
34,1,5,0,0,0,1,2,0,1
20,3,7,1,0,1,0,1,1,1
22,1,6,1,0,1,0,1,0,1
18,1,6,1,0,0,0,1,1,1
18,3,6,1,0,0,0,1,1,1
18,1,6,1,0,0,0,1,0,1
18,1,6,1,1,1,0,1,0,1
19,1,6,1,0,0,0,1,0,1
21,1,6,1,0,1,0,1,0,1
18,2,7,1,0,1,0,1,0,1
18,1,0,1,0,0,0,1,0,1
18,2,6,1,0,1,0,1,0,1
21,1,10,1,0,0,0,1,0,1
20,2,7,1,0,1,0,1,1,1
25,1,5,0,0,0,0,1,0,1
25,2,7,1,0,1,0,1,0,1
24,1,6,1,0,1,0,1,0,1
19,1,5,1,0,1,0,1,0,1
19,6,5,1,0,0,0,1,1,1
20,2,5,1,0,1,0,1,1,1
18,1,0,1,0,1,0,1,0,1
18,2,7,1,0,0,0,1,0,1
19,3,5,1,0,1,0,1,0,1
19,1,7,1,0,1,0,1,0,1
19,1,5,1,0,1,0,1,0,1
32,1,7,1,0,1,0,4,0,1
24,1,5,0,0,0,1,1,0,1
19,2,7,1,0,1,0,1,0,1
45,1,11,1,0,1,0,2,0,1
18,1,7,1,0,1,0,1,0,1
