marital_status,previous_qualification_grade,admission_grade,displaced,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,curricular_units_1st_sem_enrolled,target
1,122.0,127.3,1,0,1,1,0,20,0,Dropout
1,160.0,142.5,1,0,0,1,0,19,6,Graduate
1,122.0,124.8,1,0,0,1,0,19,6,Dropout
1,122.0,119.6,1,0,1,0,0,20,6,Graduate
2,100.0,141.5,0,0,1,0,0,45,6,Graduate
2,133.1,114.8,0,1,1,1,0,50,5,Graduate
1,142.0,128.4,1,0,1,0,1,18,7,Graduate
1,119.0,113.1,1,0,0,1,0,22,5,Dropout
1,137.0,129.3,0,0,1,0,1,21,6,Graduate
1,138.0,123.0,1,1,0,0,0,18,6,Dropout
1,139.0,130.6,1,0,1,0,0,18,6,Graduate
1,136.0,119.3,1,0,1,0,1,18,8,Graduate
1,133.0,130.2,1,0,1,0,0,19,6,Dropout
1,110.0,111.8,1,0,1,0,1,21,6,Graduate
1,149.0,137.1,1,0,1,0,1,18,5,Graduate
1,127.0,120.7,1,0,1,0,0,20,6,Dropout
1,135.0,127.3,1,0,1,0,0,18,7,Graduate
1,137.0,136.3,1,0,1,0,0,20,5,Graduate
1,122.0,120.3,0,0,1,0,1,21,0,Graduate
1,142.0,125.5,1,0,1,0,0,18,8,Graduate
1,125.0,114.9,1,0,1,0,1,19,6,Graduate
1,126.0,123.9,0,0,1,0,0,19,7,Graduate
1,115.0,116.4,1,0,1,0,0,21,6,Graduate
1,135.0,122.1,1,0,1,0,0,20,5,Graduate
1,125.0,130.0,1,0,1,1,0,20,6,Graduate
1,138.0,134.5,1,0,1,0,0,19,6,Graduate
1,130.0,131.4,0,0,1,1,0,34,5,Graduate
1,130.0,102.5,0,1,0,1,0,37,7,Dropout
1,133.1,128.8,1,0,1,1,0,43,5,Dropout
1,140.0,122.9,0,0,1,0,0,55,5,Dropout
4,120.0,113.9,1,0,1,0,0,39,5,Graduate
1,120.0,120.0,0,1,0,0,0,20,6,Dropout
1,126.0,121.1,0,1,1,0,0,18,6,Dropout
1,133.0,120.4,1,0,1,0,0,22,5,Graduate
1,103.0,100.6,1,0,1,0,0,22,7,Graduate
1,120.0,121.4,0,0,0,0,0,20,6,Dropout
1,133.1,109.7,0,0,1,0,0,29,5,Dropout
1,130.0,127.6,1,0,1,0,0,18,6,Graduate
1,132.0,132.4,1,0,1,0,1,22,7,Graduate
1,130.0,133.4,0,0,1,0,1,21,6,Graduate
1,139.0,126.1,0,0,1,0,1,19,6,Graduate
1,130.0,113.5,0,0,1,0,1,24,6,Graduate
1,167.0,159.3,0,0,1,0,0,19,5,Graduate
1,130.0,120.0,0,0,1,0,0,27,5,Dropout
1,130.0,129.1,1,0,1,0,0,18,7,Graduate
2,130.0,130.0,0,0,1,0,0,39,6,Dropout
1,129.0,155.3,1,0,1,0,0,27,6,Dropout
1,141.0,139.8,1,0,1,0,0,18,8,Graduate
1,125.0,114.9,0,0,1,0,0,18,7,Graduate
