admission_grade,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,curricular_units_2nd_sem_grade
122.0,0,1,0,0,18,6,1,12.0,11.0
110.0,0,1,0,0,18,7,6,11.666666666666666,13.5
110.0,0,1,0,0,20,7,7,11.4375,11.425
144.9,1,1,0,1,18,6,5,11.6,11.0
118.4,0,1,0,0,18,5,5,12.666666666666666,13.0
101.3,0,1,1,0,19,7,6,12.933333333333332,13.716666666666669
168.2,0,1,1,0,21,6,5,11.857142857142858,10.571428571428571
150.0,0,0,1,0,18,5,3,11.333333333333334,13.5
140.0,0,1,0,0,24,5,2,11.5,14.333333333333334
121.8,0,1,0,1,19,8,6,11.833333333333334,11.833333333333334
183.5,0,1,0,1,20,6,4,14.0,11.0
100.0,0,1,0,0,18,0,0,0.0,0.0
112.4,0,1,1,1,19,0,0,0.0,0.0
107.5,0,1,1,0,19,6,5,11.4,10.0
116.4,0,1,1,0,24,6,0,0.0,0.0
103.5,0,1,1,0,26,6,6,12.0,10.8
122.3,0,1,1,0,18,5,0,0.0,0.0
134.7,0,1,1,0,18,5,5,12.0,11.333333333333334
154.4,0,1,1,0,23,5,4,14.0,13.8
136.0,1,1,1,0,18,5,2,10.0,0.0
122.8,0,1,1,0,19,5,5,14.0,13.25
103.5,0,1,0,0,19,5,5,14.2,13.8
140.0,0,1,0,0,20,7,6,11.666666666666666,13.0
129.8,0,1,0,1,18,5,3,13.0,11.0
115.5,0,1,0,0,20,7,6,11.616666666666667,13.0
107.0,0,1,0,1,20,6,2,10.0,10.75
110.0,0,1,0,0,20,5,3,10.333333333333334,10.666666666666666
100.0,0,1,0,1,18,6,5,12.8,13.4
126.3,0,1,0,1,20,7,5,13.188,12.892857142857142
100.0,1,0,0,0,22,5,0,0.0,0.0
140.8,0,1,0,0,18,0,0,0.0,0.0
163.4,0,1,0,0,18,6,3,12.333333333333334,10.833333333333334
129.7,1,1,0,0,47,1,0,0.0,0.0
110.0,0,1,0,0,28,5,4,11.25,10.5
140.0,0,1,0,1,18,5,3,11.666666666666666,13.5
138.0,0,1,0,1,26,6,6,12.666666666666666,13.166666666666666
157.7,1,0,0,0,21,10,8,11.5,10.0
110.0,0,1,0,0,23,6,2,10.0,10.0
150.0,0,1,0,0,35,3,3,11.816666666666668,11.333333333333334
121.8,0,1,0,0,25,7,6,12.125,13.3125
139.6,0,1,0,0,19,7,6,12.471428571428572,11.4625
108.0,0,1,0,0,24,17,11,12.909090909090908,13.555555555555555
124.1,0,1,0,0,19,6,5,12.4,12.4
121.4,0,1,0,0,18,6,1,11.0,0.0
101.3,0,1,0,0,18,6,6,11.833333333333334,12.5
141.0,0,1,0,1,18,7,7,13.79714285714286,13.775
129.4,0,1,0,0,18,6,6,12.5,12.333333333333334
103.5,0,1,0,0,24,6,6,11.428571428571429,13.0
111.7,0,1,0,0,19,6,4,11.0,11.0
97.0,0,1,0,0,20,7,6,11.757142857142856,13.083333333333334
142.8,0,1,0,0,19,5,3,10.333333333333334,13.0
124.1,0,1,0,0,18,6,5,12.6,11.4
136.1,0,1,0,0,18,5,5,14.0,11.6
131.8,0,1,0,0,18,7,5,12.0,12.666666666666666
103.5,0,1,0,0,19,5,4,12.0,12.0
110.0,0,1,0,0,26,5,4,13.0,12.0
120.7,0,1,0,0,36,16,13,10.692307692307692,12.307692307692308
139.4,0,1,0,0,20,6,5,12.0,11.25
114.6,1,1,0,1,30,6,0,0.0,0.0
131.8,0,1,0,0,20,5,3,10.333333333333334,11.0
129.8,0,1,0,0,19,7,5,13.98,13.98
129.7,0,1,0,0,19,5,1,11.0,11.2
131.8,0,1,0,1,31,5,4,11.25,10.833333333333334
135.1,1,1,0,0,42,11,10,11.9,12.8
110.0,0,0,0,1,18,7,7,12.285714285714286,13.333333333333334
126.1,0,1,0,0,21,6,5,12.666666666666666,13.5
106.1,0,1,0,0,20,7,6,13.25,13.75
120.7,0,1,0,0,19,6,3,10.333333333333334,10.333333333333334
108.0,0,1,0,0,22,6,5,13.166666666666666,12.4
160.0,0,1,0,0,21,6,4,12.75,11.0
132.5,0,1,0,0,26,7,5,11.2,12.14
140.2,0,1,0,1,18,6,5,11.6,11.2
134.7,0,1,0,0,20,6,3,10.333333333333334,10.333333333333334
119.8,0,1,0,0,19,6,4,12.25,11.0
152.4,0,1,0,0,19,6,6,12.0,12.75
100.0,0,1,0,0,20,5,3,11.333333333333334,10.666666666666666
135.1,0,1,0,1,20,6,4,11.25,10.5
110.0,0,1,0,0,18,2,0,0.0,16.0
129.7,1,1,0,0,18,5,1,12.0,12.0
128.9,0,1,0,1,20,6,5,12.8,12.8
138.0,0,1,0,0,19,5,5,11.8,11.25
150.0,0,1,0,0,20,6,5,10.6,10.4
130.0,0,1,0,0,20,6,5,14.333333333333334,12.625
129.2,0,1,0,1,21,6,5,13.2,11.8
126.1,0,1,0,0,20,6,6,12.666666666666666,13.0
136.6,1,1,0,0,22,6,5,13.333333333333334,11.4
110.0,0,1,0,0,18,7,6,10.666666666666666,12.833333333333334
129.5,0,1,0,0,20,5,3,11.333333333333334,12.6
124.0,0,0,0,0,18,6,5,12.2,10.833333333333334
130.5,0,1,0,0,27,7,4,14.0,12.525
138.0,0,1,0,0,26,7,7,14.75,13.8
135.6,0,1,0,0,18,6,4,10.75,0.0
137.8,0,1,1,0,24,5,1,12.0,10.5
129.7,0,1,1,1,19,5,3,11.666666666666666,11.666666666666666
121.3,0,1,1,0,20,5,5,10.0,12.0
168.2,0,1,1,1,18,5,5,13.2,12.6
112.5,0,1,1,0,20,5,4,10.2,11.0
153.6,0,1,1,0,25,5,5,14.2,13.5
134.8,1,1,1,0,22,6,6,12.625,14.5
101.3,0,1,1,0,18,8,6,13.496666666666668,13.496666666666668
132.0,0,1,1,0,20,5,3,11.0,12.0
108.0,1,1,1,0,23,6,3,11.5,10.666666666666666
133.0,0,1,1,0,20,5,2,11.0,12.666666666666666
108.0,0,1,1,0,20,5,3,12.4,10.833333333333334
135.0,0,1,0,1,28,5,5,10.6,10.2
