admission_grade,age_at_enrollment,application_order,course,curricular_units_1st_sem_approved,curricular_units_1st_sem_credited,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_evaluations,curricular_units_1st_sem_grade,curricular_units_1st_sem_without_evaluations,curricular_units_2nd_sem_credited,curricular_units_2nd_sem_enrolled,daytime_evening_attendance,debtor,displaced,educational_special_needs,fathers_occupation,fathers_qualification,gdp,gender,inflation_rate,international,marital_status,mothers_occupation,mothers_qualification,nationality,previous_qualification,previous_qualification_grade,scholarship_holder,target,tuition_fees_up_to_date,unemployment_rate,dataset_marker
137.4,18,1,9238,1,0,6,10,12.0,0,0,6,1,0,1,0,8,38,1.74,0,1.4,0,1,5,19,1,1,137.0,0,Enrolled,1,10.8,df1
124.6,18,1,9853,6,0,7,7,11.666666666666666,0,0,7,1,0,1,0,7,19,-0.92,0,0.3,0,1,7,19,1,1,140.0,0,Enrolled,1,16.2,df1
121.8,20,4,9556,7,0,7,14,11.4375,0,0,8,1,0,1,0,7,38,-1.7,0,3.7,0,1,4,1,1,1,127.0,0,Enrolled,1,12.7,df1
157.0,18,1,9238,5,0,6,8,11.6,0,0,6,1,1,1,0,9,38,0.32,0,2.6,0,1,9,19,1,1,151.0,1,Enrolled,1,7.6,df1
131.0,18,1,9085,5,0,5,9,12.666666666666666,2,0,5,1,0,1,0,3,19,-3.12,0,-0.8,0,1,3,19,1,1,138.0,0,Enrolled,1,9.4,df1
118.8,19,2,9500,6,0,7,9,12.933333333333332,0,0,7,1,0,1,0,10,3,-0.92,1,0.3,0,1,1,3,1,1,127.0,0,Enrolled,1,16.2,df1
150.0,21,1,9003,5,0,6,15,11.857142857142858,0,0,6,1,0,0,0,2,5,-0.92,1,0.3,0,1,4,4,1,39,150.0,0,Enrolled,1,16.2,df1
138.8,18,1,9147,3,0,5,9,11.333333333333334,0,0,5,1,0,0,0,6,1,3.51,1,1.4,0,1,4,1,1,1,143.0,0,Enrolled,0,8.9,df1
134.1,24,1,9991,2,0,5,9,11.5,0,0,5,0,0,0,0,5,38,0.32,0,2.6,0,1,4,38,1,1,154.0,0,Enrolled,1,7.6,df1
121.3,19,1,9500,6,0,8,10,11.833333333333334,0,0,8,1,0,1,0,6,38,-3.12,0,-0.8,0,1,6,37,1,1,139.0,1,Enrolled,1,9.4,df1
121.8,20,1,9773,4,0,6,11,14.0,0,0,6,1,0,1,0,7,19,-3.12,0,-0.8,0,1,7,1,1,1,127.0,1,Enrolled,1,9.4,df1
115.2,18,3,171,0,0,0,0,0.0,0,0,0,1,0,1,0,9,37,0.32,0,2.6,0,1,4,38,1,1,125.0,0,Enrolled,1,7.6,df1
126.0,19,3,171,0,0,0,0,0.0,0,0,0,1,0,1,0,7,37,1.74,1,1.4,0,1,4,1,1,1,133.0,1,Enrolled,1,10.8,df1
130.2,19,1,9070,5,0,6,6,11.4,0,0,6,1,0,1,0,4,1,1.74,1,1.4,0,1,3,1,1,1,127.0,0,Enrolled,1,10.8,df1
120.9,24,1,9070,0,0,6,6,0.0,0,0,6,1,0,0,0,3,1,-1.7,1,3.7,0,1,3,1,1,1,116.0,0,Enrolled,1,12.7,df1
100.0,26,1,9254,6,0,6,7,12.0,0,0,6,1,0,0,0,10,37,-1.7,1,3.7,0,1,7,19,1,1,160.0,0,Enrolled,1,12.7,df1
134.0,18,1,9147,0,0,5,9,0.0,0,0,5,1,0,0,0,5,37,0.32,1,2.6,0,1,5,38,1,1,148.0,0,Enrolled,1,7.6,df1
125.5,18,1,9254,5,0,5,6,12.0,0,0,5,1,0,0,0,4,19,-1.7,1,3.7,0,1,4,19,1,1,120.0,0,Enrolled,1,12.7,df1
128.7,23,6,9147,4,0,5,6,14.0,0,0,5,1,0,1,0,9,37,2.02,1,0.6,0,1,9,38,1,1,143.0,0,Enrolled,1,11.1,df1
112.2,18,2,9119,2,0,5,9,10.0,0,0,5,1,1,1,0,6,19,-4.06,1,2.8,0,1,9,38,1,1,115.0,0,Enrolled,1,15.5,df1
137.0,19,1,9119,5,0,5,9,14.0,0,0,5,1,0,1,0,2,3,0.79,1,-0.3,1,1,9,38,26,1,130.0,0,Enrolled,1,13.9,df1
134.3,19,1,9085,5,0,5,7,14.2,2,0,5,1,0,1,0,1,2,-1.7,0,3.7,0,1,9,1,1,1,135.0,0,Enrolled,1,12.7,df1
107.0,20,2,9853,6,0,7,12,11.666666666666666,0,0,7,1,0,1,0,3,1,-0.92,0,0.3,0,1,9,19,1,1,133.1,0,Enrolled,1,16.2,df1
115.3,18,2,9147,3,0,5,9,13.0,0,0,5,1,0,1,0,7,38,3.51,0,1.4,0,1,4,1,1,1,123.0,1,Enrolled,1,8.9,df1
100.0,20,1,9500,6,0,7,11,11.616666666666667,0,0,7,1,0,0,0,5,38,0.79,0,-0.3,0,1,9,38,1,1,130.0,0,Enrolled,1,13.9,df1
140.4,20,1,9238,2,0,6,13,10.0,0,0,6,1,0,1,0,7,37,0.32,0,2.6,0,1,9,19,1,1,154.0,1,Enrolled,1,7.6,df1
113.4,20,1,9147,3,0,5,11,10.333333333333334,0,0,5,1,0,0,0,3,19,1.79,0,0.5,0,1,3,19,1,1,120.0,0,Enrolled,1,12.4,df1
145.3,18,1,9853,5,0,6,8,12.8,0,0,6,1,0,1,0,3,38,-3.12,0,-0.8,0,1,9,19,1,1,146.0,1,Enrolled,1,9.4,df1
112.1,20,2,9500,5,0,7,9,13.188,0,0,8,1,0,0,0,7,1,2.02,0,0.6,0,1,4,19,1,1,117.0,1,Enrolled,1,11.1,df1
99.7,22,1,9147,0,0,5,8,0.0,0,0,5,1,1,1,0,3,1,3.51,0,1.4,0,1,3,3,1,1,99.0,0,Enrolled,0,8.9,df1
121.7,18,1,171,0,0,0,0,0.0,0,0,0,1,0,1,0,8,37,-3.12,0,-0.8,0,1,2,3,1,1,136.0,0,Enrolled,1,9.4,df1
124.7,18,1,9853,3,0,6,11,12.333333333333334,0,0,6,1,0,1,0,6,38,-3.12,0,-0.8,0,1,7,38,1,1,138.0,0,Enrolled,1,9.4,df1
170.0,47,1,9003,0,0,1,1,0.0,0,0,6,1,1,0,0,6,37,3.51,0,1.4,0,3,6,1,1,1,170.0,0,Enrolled,1,8.9,df1
130.0,28,1,9085,4,0,5,13,11.25,1,0,5,1,0,1,0,7,19,-1.7,0,3.7,0,1,9,37,1,1,130.0,0,Enrolled,1,12.7,df1
123.0,18,1,9670,3,0,5,6,11.666666666666666,0,0,5,1,0,1,0,9,37,0.32,0,2.6,0,1,9,37,1,1,131.0,1,Enrolled,1,7.6,df1
140.0,26,1,9991,6,2,6,7,12.666666666666666,0,2,6,0,0,0,0,8,19,-3.12,0,-0.8,0,1,9,37,1,39,140.0,1,Enrolled,1,9.4,df1
126.6,21,1,9238,8,5,10,18,11.5,0,0,6,1,1,0,0,9,37,-3.12,0,-0.8,0,1,5,1,1,1,143.0,0,Enrolled,0,9.4,df1
