admission_grade,age_at_enrollment,application_order,course,curricular_units_1st_sem_approved,curricular_units_1st_sem_credited,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_evaluations,curricular_units_1st_sem_grade,curricular_units_1st_sem_without_evaluations,curricular_units_2nd_sem_credited,curricular_units_2nd_sem_enrolled,daytime_evening_attendance,debtor,displaced,educational_special_needs,fathers_occupation,fathers_qualification,gdp,gender,inflation_rate,international,marital_status,mothers_occupation,mothers_qualification,nationality,previous_qualification,previous_qualification_grade,scholarship_holder,target,tuition_fees_up_to_date,unemployment_rate,dataset_marker
103.5,20,5,2,0,0,0,0,0.0,0,0,0,1,0,1,0,10,10,1.74,1,1.4,0,1,6,13,1,1,148.0,0,Dropout,1,10.8,df1
126.3,19,1,11,6,0,6,6,14.0,0,0,6,1,0,1,0,4,3,0.79,1,-0.3,0,1,4,1,1,1,140.0,0,Graduate,0,13.9,df1
110.2,19,5,5,0,0,6,0,0.0,0,0,6,1,0,1,0,10,27,1.74,1,1.4,0,1,10,22,1,1,118.0,0,Dropout,0,10.8,df1
133.3,20,2,15,6,0,6,8,13.428571428571429,0,0,6,1,0,1,0,4,27,-3.12,0,-0.8,0,1,6,23,1,1,153.0,0,Graduate,1,9.4,df1
126.3,45,1,3,5,0,6,9,12.333333333333334,0,0,6,0,0,0,0,10,28,0.79,0,-0.3,0,2,10,22,1,1,141.0,0,Graduate,1,13.9,df1
123.0,50,1,17,5,0,5,10,11.857142857142858,0,0,5,0,1,0,0,8,27,-0.92,1,0.3,0,2,10,22,1,12,133.1,0,Graduate,1,16.2,df1
168.2,18,1,12,7,0,7,9,13.3,0,0,8,1,0,1,0,11,28,-4.06,0,2.8,0,1,8,13,1,1,120.0,1,Graduate,1,15.5,df1
129.8,22,4,11,0,0,5,5,0.0,0,0,5,1,0,1,0,10,27,-4.06,1,2.8,0,1,10,22,1,1,156.0,0,Dropout,0,15.5,df1
97.0,21,3,10,6,0,6,8,13.875,0,0,6,1,0,0,0,10,1,-0.92,0,0.3,1,1,10,1,15,1,160.0,1,Graduate,1,16.2,df1
110.7,18,1,10,5,0,6,9,11.4,0,0,6,1,1,1,0,8,14,3.51,0,1.4,0,1,5,1,1,1,130.0,0,Dropout,0,8.9,df1
127.5,18,1,14,6,0,6,6,12.333333333333334,0,0,6,1,0,1,0,8,14,0.79,0,-0.3,0,1,6,23,1,1,124.0,0,Graduate,1,13.9,df1
147.6,18,1,12,7,0,8,8,13.214285714285714,0,0,8,1,0,1,0,10,28,-1.7,0,3.7,0,1,10,13,1,1,133.0,1,Graduate,1,12.7,df1
111.7,19,2,16,0,0,6,6,0.0,0,0,6,1,0,1,0,10,27,-1.7,0,3.7,0,1,5,13,1,1,132.0,0,Dropout,1,12.7,df1
121.8,21,1,11,6,0,6,7,10.571428571428571,0,0,6,1,0,1,0,8,1,3.51,0,1.4,0,1,5,1,1,16,133.1,1,Graduate,1,8.9,df1
119.5,18,1,6,4,0,5,7,13.25,0,0,5,1,0,1,0,6,27,1.74,0,1.4,0,1,6,23,1,1,118.0,1,Graduate,1,10.8,df1
129.8,20,1,15,5,0,6,6,13.2,0,0,6,1,0,1,0,4,27,-4.06,0,2.8,0,1,10,13,1,1,124.0,0,Dropout,1,15.5,df1
124.0,18,2,12,7,0,7,8,13.30625,0,0,8,1,0,1,0,5,1,-4.06,0,2.8,0,1,6,13,1,1,135.0,0,Graduate,1,15.5,df1
161.9,20,1,8,4,0,5,8,12.5,1,0,5,1,0,1,0,6,14,1.74,0,1.4,0,1,4,3,1,1,110.0,0,Graduate,1,10.8,df1
123.3,21,3,2,0,0,0,0,0.0,0,0,0,1,0,0,0,9,1,2.02,0,0.6,0,1,10,1,1,1,122.0,1,Graduate,1,11.1,df1
131.8,18,4,12,7,0,8,12,12.857142857142858,0,0,8,1,0,1,0,2,14,-1.7,0,3.7,0,1,2,13,1,1,140.0,0,Graduate,1,12.7,df1
