admission_grade,displaced,debtor,tuition_fees_up_to_date,gender,scholarship_holder,age_at_enrollment,curricular_units_1st_sem_enrolled,curricular_units_1st_sem_approved,curricular_units_1st_sem_grade,target
127.3,1,0,1,1,0,20,0,0,0.0,Dropout
142.5,1,0,0,1,0,19,6,6,14.0,Graduate
124.8,1,0,0,1,0,19,6,0,0.0,Dropout
119.6,1,0,1,0,0,20,6,6,13.428571428571429,Graduate
141.5,0,0,1,0,0,45,6,5,12.333333333333334,Graduate
114.8,0,1,1,1,0,50,5,5,11.857142857142858,Graduate
128.4,1,0,1,0,1,18,7,7,13.3,Graduate
113.1,1,0,0,1,0,22,5,0,0.0,Dropout
129.3,0,0,1,0,1,21,6,6,13.875,Graduate
123.0,1,1,0,0,0,18,6,5,11.4,Dropout
130.6,1,0,1,0,0,18,6,6,12.333333333333334,Graduate
119.3,1,0,1,0,1,18,8,7,13.214285714285714,Graduate
130.2,1,0,1,0,0,19,6,0,0.0,Dropout
111.8,1,0,1,0,1,21,6,6,10.571428571428571,Graduate
137.1,1,0,1,0,1,18,5,4,13.25,Graduate
120.7,1,0,1,0,0,20,6,5,13.2,Dropout
127.3,1,0,1,0,0,18,7,7,13.30625,Graduate
136.3,1,0,1,0,0,20,5,4,12.5,Graduate
120.3,0,0,1,0,1,21,0,0,0.0,Graduate
125.5,1,0,1,0,0,18,8,7,12.857142857142858,Graduate
114.9,1,0,1,0,1,19,6,6,13.375,Graduate
123.9,0,0,1,0,0,19,7,6,13.296666666666669,Graduate
116.4,1,0,1,0,0,21,6,6,11.375,Graduate
122.1,1,0,1,0,0,20,5,5,12.0,Graduate
130.0,1,0,1,1,0,20,6,6,12.833333333333334,Graduate
134.5,1,0,1,0,0,19,6,6,12.666666666666666,Graduate
131.4,0,0,1,1,0,34,5,5,12.4,Graduate
102.5,0,1,0,1,0,37,7,0,0.0,Dropout
128.8,1,0,1,1,0,43,5,0,0.0,Dropout
122.9,0,0,1,0,0,55,5,1,10.0,Dropout
113.9,1,0,1,0,0,39,5,5,11.0,Graduate
120.0,0,1,0,0,0,20,6,3,11.666666666666666,Dropout
121.1,0,1,1,0,0,18,6,4,12.75,Dropout
120.4,1,0,1,0,0,22,5,5,14.8,Graduate
100.6,1,0,1,0,0,22,7,5,13.928,Graduate
121.4,0,0,0,0,0,20,6,4,13.0,Dropout
109.7,0,0,1,0,0,29,5,0,0.0,Dropout
127.6,1,0,1,0,0,18,6,6,11.666666666666666,Graduate
132.4,1,0,1,0,1,22,7,6,13.516666666666666,Graduate
133.4,0,0,1,0,1,21,6,6,11.5,Graduate
126.1,0,0,1,0,1,19,6,5,12.333333333333334,Graduate
113.5,0,0,1,0,1,24,6,6,13.666666666666666,Graduate
159.3,0,0,1,0,0,19,5,5,14.714285714285714,Graduate
120.0,0,0,1,0,0,27,5,5,10.6,Dropout
129.1,1,0,1,0,0,18,7,7,13.044444444444444,Graduate
130.0,0,0,1,0,0,39,6,0,0.0,Dropout
155.3,1,0,1,0,0,27,6,5,13.0,Dropout
139.8,1,0,1,0,0,18,8,8,14.935,Graduate
114.9,0,0,1,0,0,18,7,6,13.133333333333333,Graduate
